China city codes: 
Wuzhou, GX   774  
XiAn, SN   29  
Xiamen, FJ   592  
Xiangfan, HB   710  
Xiangtan, HN   732  
Xianning, HB   715  
Xiantao, HB   728  
Xianyang, SN   910  
Xiaogan, HB   712  
Xichang, SC   834  
Xilinhaote, NM   479  
Xingtai, HEB   319  
Xingyi, GZ   859  
Xinxiang, HEN   373  
Xinyang, HEN   376  
Xinyu, JX   790  
Xinzhou, SX   350  
Xuancheng, AH   563  
Xuchang, HEN   374  
Xuzhou, JS   516  
YaAn, SC   835  
YanAn, SN   911  
Yancheng, JS   515  
Yangjiang, GD   662  
Yangquan, SX   353  
Yangzhou, JS   514  
Yanji, JL   433  
Yantai, SD   535  
Yibin, SC   831  
Yichang, HB   717  
Yichun, HL   458  
Yichun, JX   795  
Yingkou, LN   417  
Yingtan, JX   701  
Yiyang, HN   737  
Yongzhou, HN  746  
Yuci, SX   354   
Yueyang, HN   730  
Yulin, GX   775  
Yulin, SN   912   
Yuncheng, SX   359  
Yunfu, GD   766  
Yuxi, YN   877   
Zaozhuang, SD   632  
Zhangjiajie, HN   744  
Zhangjiakou, HEB   313  
Zhangzhou, FJ   596  
Zhanjiang, GD   759  
Zhaoqing, GD   758  
Zhaotong, YN   870  
Zhengzhou, HEN   371  
Zhenjiang, JS   511  
Zhongdian, YN   887  
Zhongshan, GD   760  
Zhoukou, HEN   394  
Zhoushan, ZJ   580  
Zhuhai, GD   756   
Zhumadian, HEN   396  
Zhuzhou, HN   733  
Zibo, SD   533  
Zigong, SC   813  
Zunyi, GZ   852
